chaves,colisoes,fator_de_carga
100,4,0.019429
200,16,0.038858
300,15,0.058286
400,21,0.077715
500,38,0.097144
600,34,0.116573
700,47,0.136002
800,52,0.155430
900,57,0.174859
1000,53,0.194288
1100,76,0.213717
1200,62,0.233146
1300,89,0.252574
1400,93,0.272003
1500,105,0.291432
1600,113,0.310861
1700,93,0.330289
1800,101,0.349718
1900,132,0.369147
2000,136,0.388576
2100,138,0.408005
2200,122,0.427433
2300,147,0.446862
2400,144,0.466291
2500,187,0.485720
2600,155,0.505149
2700,145,0.524577
2800,175,0.544006
2900,192,0.563435
3000,173,0.582864
3100,219,0.602293
3200,244,0.621721
3300,196,0.641150
3400,280,0.660579
3500,270,0.680008
3600,306,0.699437
3700,328,0.718865
3800,304,0.738294
3900,459,0.757723
4000,368,0.777152
4096,397,0.795803
